Version,Class,N_cells,Area_share,WP_pop_share,Meta_pop_share
median,HH,39,0.39415483134824586,0.9300565944542415,0.9268016873451124
median,LH,10,0.10141024283372711,0.009421806226023368,0.0461254534677302
median,LL,39,0.40152636409324066,0.03028054042443956,0.017549151573856534
median,HL,10,0.10290856172478621,0.030241058895295433,0.009523707613300882
quartile,HH,22,0.22179104619971995,0.8196462478339782,0.7833429105067024
quartile,LH,1,0.009986656977018641,4.450778817154334e-05,0.016540688268252748
quartile,LL,17,0.1746064336151052,0.0065261695215646336,0.0026046131726301623
quartile,HL,0,0.0,0.0,0.0
quartile,other,58,0.5936158632081561,0.1737830748562854,0.19751178805241482
